icao24,origin_country,velocity,on_ground
39de4f,France,230.93,False
39de4e,France,125.25,False
39de4b,France,202.41,False
a40bd6,United States,84.73,False
39de4a,France,239.59,False
aa9321,United States,0.0,True
39de4d,France,248.92,False
39de4c,France,231.5,False
a1026c,United States,31.09,False
407a38,United Kingdom,103.79,False
a77ec5,United States,170.02,False
801645,India,213.07,False
a5953a,United States,33.07,False
a3b87f,United States,79.27,False
a5f84e,United States,67.12,False
a58215,United States,71.06,False
39de51,France,234.42,False
39de50,France,208.73,False
39de53,France,238.73,False
39de54,France,241.39,False
a0e278,United States,147.18,False
80163c,India,156.52,False
acdfa6,United States,209.68,False
ac4963,United States,218.89,False
a65eca,United States,37.13,False
a36898,United States,207.37,False
acdfa3,United States,268.07,False
a41ee6,United States,201.52,False
a36880,United States,81.61,False
ad6966,United States,143.17,False
511167,Estonia,140.97,False
a5f86f,United States,108.65,False
a1befc,United States,226.86,False
adffa5,United States,293.56,False
aaf663,United States,198.96,False
a2decd,United States,44.59,False
ad5628,United States,191.78,False
a23578,United States,38.39,False
a89eb9,United States,51.35,False
a0e250,United States,215.13,False
39de46,France,228.56,False
a73862,United States,49.41,False
a48850,United States,224.94,False
ad694c,United States,7.46,True
39de49,France,225.82,False
ad561e,United States,91.01,False
a34215,United States,10.29,True
39de40,France,213.88,False
39de42,France,233.27,False
39de41,France,189.85,False
39de44,France,101.2,False
aa4fc9,United States,59.32,False
511187,Estonia,218.46,False
44028c,Austria,65.04,False
adeca5,United States,245.35,False
ae1fe4,United States,52.27,False
a2228b,United States,218.48,False
511188,Estonia,220.86,False
e8023a,Chile,153.14,False
abacd2,United States,208.62,False
4acb01,Sweden,219.78,False
4acb03,Sweden,227.19,False
adffbe,United States,172.62,False
4bc8c7,Turkey,246.98,False
4bc8c3,Turkey,239.98,False
4bc8c1,Turkey,214.92,False
e8024c,Chile,257.22,False
511173,Estonia,138.2,False
e0b1d3,Argentina,151.33,False
c02298,Canada,67.68,False
abf008,United States,198.64,False
511172,Estonia,240.47,False
a007c9,United States,55.56,False
511170,Estonia,234.86,False
ae1fcf,United States,59.93,False
aa0934,United States,52.79,False
4bc8d5,Turkey,241.77,False
4bc8d3,Turkey,198.23,False
a4d838,United States,70.85,False
80164e,India,105.19,False
a963f7,United States,180.49,False
ac234f,United States,251.67,False
ac101f,United States,220.04,False
ad5679,United States,207.17,False
a35592,United States,207.07,False
471efa,Hungary,243.42,False
471efb,Hungary,221.46,False
acdffc,United States,238.43,False
47b217,Norway,88.65,False
a3a538,United States,13.89,True
801659,India,221.27,False
471eff,Hungary,246.28,False
471efc,Hungary,226.97,False
801663,India,230.29,False
801661,India,0.0,True
ac3688,United States,142.26,False
adffdd,United States,249.79,False
a950bf,United States,269.45,False
801665,India,2.83,True
e80274,Chile,234.33,False
a59529,United States,52.54,False
51118a,Estonia,211.17,False
80165a,India,253.85,False
ae6319,United States,169.14,False
ae6315,United States,130.07,False
a3689e,United States,4.12,True
a3556f,United States,166.47,False
ac1042,United States,82.01,False
a950cb,United States,47.96,False
3442c2,Spain,149.71,False
abf025,United States,217.51,False
a3fef1,United States,69.65,False
a4c527,United States,101.99,False
a53ee2,United States,29.32,True
ad5672,United States,52.47,False
aa8075,United States,194.69,False
0d11c0,Mexico,217.37,False
ab01ee,United States,67.73,False
c02267,Canada,140.3,False
abad94,United States,264.72,False
4acb41,Sweden,245.18,False
4acb43,Sweden,230.13,False
4acb42,Sweden,234.64,False
aa8079,United States,39.73,False
4acb44,Sweden,238.44,False
ae74cd,United States,47.51,False
0d11bd,Mexico,46.48,False
adda23,United States,2.31,True
accd69,United States,244.88,False
ab01fd,United States,87.38,False
0d11d3,Mexico,52.35,False
440248,Austria,165.97,False
adb7ee,United States,186.57,False
ae87ed,United States,44.19,False
a14a13,United States,75.01,False
4acb59,Sweden,236.48,False
a5829d,United States,9.26,True
a6f23d,United States,65.34,False
3c5ee8,Germany,229.79,False
a71291,United States,203.54,False
4acb23,Sweden,227.14,False
4bc8ca,Turkey,222.76,False
e8021f,Chile,193.31,False
3455c1,Spain,246.26,False
e48be3,Brazil,193.52,False
a71295,United States,9.77,True
a96558,United States,37.96,False
ad41cd,United States,219.05,False
3c5ee1,Germany,235.24,False
0d11f1,Mexico,45.81,False
e80238,Chile,140.35,False
a7259e,United States,66.06,False
a8dbc9,United States,217.45,False
3c5ef6,Germany,215.39,False
46b82b,Greece,74.62,False
3c5eeb,Germany,208.19,False
4bc8da,Turkey,222.81,False
ae74dc,United States,41.93,False
a5d28e,United States,195.27,False
c0226c,Canada,227.33,False
a5d28c,United States,202.9,False
e48bf8,Brazil,106.86,False
a8dbbd,United States,241.34,False
478854,Norway,216.53,False
c07bc7,Canada,238.04,False
440219,Austria,260.93,False
c0220d,Canada,236.5,False
a5823e,United States,282.29,False
46b831,Greece,221.55,False
c07bbe,Canada,198.0,False
46b832,Greece,221.58,False
a0f4d6,United States,27.69,False
46b833,Greece,142.93,False
a8a859,United States,47.85,False
aa801e,United States,86.39,False
a8452b,United States,56.78,False
a091d6,United States,265.51,False
a091d5,United States,6.43,True
a114dc,United States,95.92,False
46b837,Greece,229.78,False
a72567,United States,6.94,True
a8eed8,United States,263.52,False
440209,Austria,222.99,False
a58267,United States,175.5,False
ad8a80,United States,50.24,False
ac491d,United States,140.06,False
a101c3,United States,257.45,False
a5f87d,United States,38.95,False
ac4920,United States,102.45,False
46b824,Greece,141.18,False
46b825,Greece,227.05,False
aa3ced,United States,63.59,False
46b823,Greece,234.2,False
aaf610,United States,53.5,False
440237,Austria,234.38,False
0d11a9,Mexico,59.99,False
c04893,Canada,40.85,False
440224,Austria,65.89,False
e80201,Chile,223.97,False
a8320e,United States,273.04,False
a8453e,United States,244.27,False
a7bbb2,United States,228.64,False
a2ba48,United States,256.72,False
a4d7f0,United States,83.14,False
c0482a,Canada,182.69,False
a02a8f,United States,69.45,False
4aca9a,Sweden,179.77,False
34318a,Spain,221.8,False
a4d7dc,United States,0.0,True
a5f7e9,United States,38.65,False
a221d4,United States,71.06,False
885222,Thailand,270.13,False
e49ec9,Brazil,216.62,False
885221,Thailand,235.52,False
a474bb,United States,32.72,False
a0e1f3,United States,206.56,False
ad67a4,United States,123.19,False
4aca82,Sweden,224.49,False
4aca81,Sweden,235.97,False
4aca86,Sweden,232.41,False
4aca85,Sweden,244.09,False
a1ad73,United States,219.47,False
4aca87,Sweden,244.94,False
accd18,United States,241.26,False
a091f3,United States,196.44,False
a354e0,United States,93.88,False
a354e3,United States,45.93,False
4aca7a,Sweden,154.38,False
a3ed7c,United States,204.07,False
ab14d9,United States,180.47,False
a724bd,United States,309.35,False
c02207,Canada,187.36,False
4aca90,Sweden,4.63,True
a091ed,United States,220.01,False
4aca95,Sweden,223.91,False
ad67ae,United States,3.86,True
4aca96,Sweden,74.72,False
c81d8e,New Zealand,81.81,False
4aca99,Sweden,224.65,False
4aca98,Sweden,220.04,False
a234ef,United States,204.36,False
c0483e,Canada,184.58,False
4aca8d,Sweden,222.9,False
4aca8c,Sweden,237.2,False
4aca8e,Sweden,9.26,True
a6f28c,United States,132.27,False
a9526f,United States,199.01,False
a52d19,United States,44.32,False
a0093e,United States,175.55,False
e49eed,Brazil,244.19,False
ad9d42,United States,45.13,False
c81d9d,New Zealand,219.37,False
a3b7d1,United States,263.84,False
ac34bf,United States,190.03,False
e49ef3,Brazil,71.83,False
344487,Spain,234.94,False
